# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.4395808696746837
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: RandomSweep
# Total Sweep Time: 1.3821486870000002
# Total Histogram Time: 0.00829873
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.98    -1.8977977    0.14723647    -1.7368723    0.33426105    -1.7705627    0.28208981    -1.7571955    0.30715445    -1.7629935    0.29815701    -1.7674227    0.29380562
           1.99    -1.8948199     0.1505526    -1.7301415    0.33880467    -1.7648806    0.28611544    -1.7510081    0.31157944    -1.7569872     0.3024689    -1.7615031    0.29814328
              2    -1.8917754    0.15390002    -1.7233206    0.34327516    -1.7591183    0.29010896    -1.7447326    0.31595551     -1.750895    0.30673778    -1.7554972    0.30244284
           2.01    -1.8886637     0.1572768     -1.716411    0.34766801    -1.7532765    0.29406718    -1.7383702     0.3202786     -1.744718    0.31095981    -1.7494057    0.30670052
           2.02    -1.8854841     0.1606809    -1.7094144    0.35197879    -1.7473559    0.29798692    -1.7319219    0.32454465     -1.738457    0.31513118    -1.7432295    0.31091252
           2.03    -1.8822363    0.16411021    -1.7023324    0.35620318    -1.7413573    0.30186502    -1.7253888    0.32874967    -1.7321131     0.3192481    -1.7369695    0.31507509
           2.04    -1.8789196    0.16756251    -1.6951669    0.36033693    -1.7352815     0.3056983    -1.7187723    0.33288969    -1.7256874     0.3233068    -1.7306268    0.31918446
           2.05    -1.8755336    0.17103551    -1.6879196    0.36437595    -1.7291296    0.30948362    -1.7120737    0.33696082    -1.7191812    0.32730357    -1.7242025    0.32323694
           2.06     -1.872078    0.17452685    -1.6805925    0.36831623    -1.7229025    0.31321787    -1.7052944    0.34095923    -1.7125957    0.33123475    -1.7176978    0.32722883
           2.07    -1.8685524    0.17803406    -1.6731876    0.37215395    -1.7166013    0.31689794    -1.6984358    0.34488115    -1.7059323    0.33509672    -1.7111138    0.33115651
           2.08    -1.8649566    0.18155462     -1.665707     0.3758854     -1.710227     0.3205208    -1.6914997    0.34872291    -1.6991923    0.33888595     -1.704452     0.3350164
           2.09    -1.8612902    0.18508594    -1.6581529    0.37950704    -1.7037809    0.32408343    -1.6844875    0.35248095    -1.6923774    0.34259899    -1.6977136    0.33880501
            2.1    -1.8575531    0.18862534    -1.6505275    0.38301551    -1.6972641    0.32758288     -1.677401     0.3561518    -1.6854889    0.34623246    -1.6909002    0.34251891
           2.11    -1.8537451    0.19217011    -1.6428331    0.38640759     -1.690678    0.33101625     -1.670242    0.35973209    -1.6785286    0.34978309    -1.6840134    0.34615473
           2.12    -1.8498663    0.19571745     -1.635072    0.38968029    -1.6840239    0.33438071    -1.6630123    0.36321859    -1.6714982    0.35324769    -1.6770546    0.34970924
           2.13    -1.8459164    0.19926453    -1.6272467    0.39283076    -1.6773032     0.3376735    -1.6557139    0.36660819    -1.6643993     0.3566232    -1.6700256    0.35317926
           2.14    -1.8418957    0.20280847    -1.6193596    0.39585637    -1.6705175    0.34089193    -1.6483487    0.36989792    -1.6572339    0.35990667     -1.662928    0.35656175
           2.15    -1.8378041    0.20634635    -1.6114133    0.39875471    -1.6636681    0.34403341    -1.6409187    0.37308496    -1.6500037    0.36309527    -1.6557637    0.35985377
           2.16    -1.8336419    0.20987518    -1.6034103    0.40152353    -1.6567567    0.34709542     -1.633426    0.37616662    -1.6427107    0.36618632    -1.6485345    0.36305249
           2.17    -1.8294092    0.21339199    -1.5953532    0.40416083    -1.6497848    0.35007555    -1.6258727    0.37914038    -1.6353569    0.36917724    -1.6412422    0.36615522
           2.18    -1.8251063    0.21689375    -1.5872447    0.40666481    -1.6427542    0.35297147    -1.6182611    0.38200387    -1.6279443    0.37206563    -1.6338889     0.3691594
           2.19    -1.8207336    0.22037742    -1.5790875    0.40903387    -1.6356665    0.35578098    -1.6105933     0.3847549     -1.620475     0.3748492    -1.6264765    0.37206262
            2.2    -1.8162914    0.22383996    -1.5708843    0.41126665    -1.6285235    0.35850196    -1.6028717    0.38739144     -1.612951    0.37752585    -1.6190071    0.37486257
           2.21    -1.8117802     0.2272783    -1.5626378    0.41336199     -1.621327    0.36113242    -1.5950984    0.38991164    -1.6053747     0.3800936    -1.6114827    0.37755715
           2.22    -1.8072004    0.23068938    -1.5543507    0.41531897    -1.6140789     0.3636705     -1.587276    0.39231381     -1.597748    0.38255065    -1.6039055    0.38014435
           2.23    -1.8025528    0.23407014    -1.5460259    0.41713687    -1.6067809    0.36611443    -1.5794067    0.39459646    -1.5900734    0.38489537    -1.5962777    0.38262237
           2.24    -1.7978378    0.23741756    -1.5376662     0.4188152    -1.5994349    0.36846258    -1.5714929    0.39675827     -1.582353    0.38712627    -1.5886014    0.38498953
           2.25    -1.7930563     0.2407286    -1.5292743    0.42035366     -1.592043    0.37071345    -1.5635372     0.3987981    -1.5745891    0.38924204    -1.5808789    0.38724432
           2.26     -1.788209    0.24400026     -1.520853    0.42175219     -1.584607    0.37286566    -1.5555418      0.400715    -1.5667841    0.39124154    -1.5731124    0.38938541
           2.27    -1.7832966    0.24722958    -1.5124051    0.42301094     -1.577129    0.37491797    -1.5475094    0.40250819    -1.5589402     0.3931238    -1.5653042    0.39141162
           2.28    -1.7783201    0.25041362    -1.5039335    0.42413023     -1.569611    0.37686926    -1.5394423    0.40417709    -1.5510599    0.39488801    -1.5574567    0.39332193
           2.29    -1.7732804    0.25354951    -1.4954408    0.42511063    -1.5620549    0.37871856    -1.5313431    0.40572129    -1.5431455    0.39653354    -1.5495721     0.3951155
            2.3    -1.7681784     0.2566344      -1.48693    0.42595286    -1.5544629    0.38046503    -1.5232143    0.40714057    -1.5351994    0.39805992    -1.5416528    0.39679166
           2.31    -1.7630154    0.25966551    -1.4784036    0.42665786     -1.546837    0.38210794    -1.5150584    0.40843486    -1.5272239    0.39946686    -1.5337012    0.39834989
           2.32    -1.7577922    0.26264013    -1.4698646    0.42722675    -1.5391793    0.38364673    -1.5068778     0.4096043    -1.5192215    0.40075422    -1.5257196    0.39978985
           2.33    -1.7525101    0.26555559    -1.4613155     0.4276608    -1.5314919    0.38508095     -1.498675    0.41064918    -1.5111945    0.40192204    -1.5177104    0.40111134
           2.34    -1.7471704    0.26840933     -1.452759     0.4279615    -1.5237768    0.38641031    -1.4904526    0.41156997    -1.5031454     0.4029705     -1.509676    0.40231435
           2.35    -1.7417742    0.27119884    -1.4441979    0.42813045    -1.5160362    0.38763463     -1.482213    0.41236728    -1.4950765    0.40389995    -1.5016186    0.40339901
           2.36    -1.7363229    0.27392169    -1.4356347    0.42816945    -1.5082721    0.38875385    -1.4739587    0.41304192    -1.4869902    0.40471091    -1.4935408    0.40436562
           2.37    -1.7308178    0.27657556    -1.4270719    0.42808042    -1.5004867    0.38976808    -1.4656922    0.41359482    -1.4788888    0.40540402    -1.4854448    0.40521462
           2.38    -1.7252603    0.27915822    -1.4185123    0.42786543    -1.4926821    0.39067753    -1.4574158    0.41402707    -1.4707748    0.40598008     -1.477333     0.4059466
           2.39    -1.7196519     0.2816675    -1.4099582    0.42752668    -1.4848603    0.39148253    -1.4491319     0.4143399    -1.4626504    0.40644004    -1.4692077    0.40656231
            2.4    -1.7139941    0.28410138     -1.401412     0.4270665    -1.4770235    0.39218355    -1.4408429    0.41453469     -1.454518    0.40678498    -1.4610713    0.40706262
           2.41    -1.7082884    0.28645791    -1.3928763    0.42648732    -1.4691736    0.39278116    -1.4325513    0.41461295    -1.4463798    0.40701611     -1.452926    0.40744855
           2.42    -1.7025363    0.28873527    -1.3843533     0.4257917    -1.4613129    0.39327607    -1.4242592     0.4145763    -1.4382381    0.40713476    -1.4447741    0.40772125
           2.43    -1.6967395    0.29093172    -1.3758454    0.42498226    -1.4534433    0.39366909     -1.415969    0.41442649    -1.4300951    0.40714241    -1.4366179    0.40788199
           2.44    -1.6908996    0.29304567    -1.3673548    0.42406174    -1.4455668    0.39396112    -1.4076829    0.41416539    -1.4219531    0.40704061    -1.4284595    0.40793217
           2.45    -1.6850183    0.29507562    -1.3588836    0.42303296    -1.4376855    0.39415321    -1.3994031    0.41379496    -1.4138142    0.40683105    -1.4203013     0.4078733
           2.46    -1.6790972    0.29702019    -1.3504341     0.4218988    -1.4298013    0.39424646    -1.3911318    0.41331727    -1.4056806    0.40651552    -1.4121453      0.407707
           2.47     -1.673138    0.29887813    -1.3420084    0.42066221    -1.4219163    0.39424209    -1.3828711    0.41273448    -1.3975543     0.4060959    -1.4039937    0.40743498
           2.48    -1.6671426     0.3006483    -1.3336083    0.41932618    -1.4140323    0.39414143    -1.3746231    0.41204883    -1.3894374    0.40557417    -1.3958486    0.40705907
