# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.438381242752075
#   Initial Sweeps: 100
#            Width: 4
#        Generator: Xorshift
#    Sweep Pattern: CheckerSweep
# Total Sweep Time: 0.794344883
# Total Histogram Time: 0.006714384
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.58    -1.9369728    0.10370538    -1.9092898    0.16390445     -1.927237    0.13641189    -1.9292651    0.13136224    -1.9322518    0.12594256    -1.9326695    0.12580651
           1.59    -1.9348803    0.10554846    -1.9059702    0.16806509    -1.9244721    0.14009521    -1.9266021    0.13494177    -1.9296987    0.12937465    -1.9301188    0.12927163
            1.6     -1.932751    0.10737089    -1.9025669    0.17227707    -1.9216329    0.14382535     -1.923867    0.13857675    -1.9270764    0.13285918    -1.9274983     0.1327912
           1.61    -1.9305856    0.10917116    -1.8990788    0.17653957    -1.9187187    0.14760097    -1.9210587    0.14226677     -1.924384    0.13639567    -1.9248068    0.13636476
           1.62    -1.9283843    0.11094777     -1.895505    0.18085169    -1.9157286    0.15142062     -1.918176    0.14601136    -1.9216203    0.13998359    -1.9220433    0.13999181
           1.63    -1.9261478    0.11269928    -1.8918444    0.18521243    -1.9126616    0.15528278    -1.9152179    0.14980996    -1.9187843     0.1436223    -1.9192068    0.14367172
           1.64    -1.9238766    0.11442428    -1.8880962    0.18962068     -1.909517    0.15918579    -1.9121832    0.15366194     -1.915875    0.14731111    -1.9162961    0.14740383
           1.65     -1.921571     0.1161214    -1.8842593    0.19407523    -1.9062939     0.1631279     -1.909071    0.15756656    -1.9128915    0.15104921    -1.9133103    0.15118735
           1.66    -1.9192319    0.11778932    -1.8803329    0.19857476    -1.9029916    0.16710726    -1.9058802    0.16152302    -1.9098328    0.15483573    -1.9102483    0.15502141
           1.67    -1.9168597    0.11942675     -1.876316    0.20311784    -1.8996094    0.17112188    -1.9026098    0.16553042    -1.9066978     0.1586697    -1.9071091    0.15890506
