# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.54            -2             0    -1.9620822   0.062740653    -1.9581075   0.069176944    -1.9575806   0.070222722    -1.9574129   0.070454692    -1.9562729   0.072355078
           1.55            -2             0    -1.9608152   0.063961896    -1.9567106   0.070513922    -1.9561625   0.071592004    -1.9559901   0.071825368    -1.9548117   0.073763736
           1.56            -2             0    -1.9595237   0.065182645    -1.9552869   0.071849806     -1.954717   0.072960884    -1.9545399   0.073195459    -1.9533224   0.075171853
           1.57            -2             0    -1.9582079   0.066402447    -1.9538366   0.073184085    -1.9532441   0.074328857    -1.9530623   0.074564454    -1.9518049   0.076578907
           1.58            -2             0    -1.9568676   0.067620852    -1.9523596   0.074516257    -1.9517438   0.075695426    -1.9515573    0.07593185    -1.9502592   0.077984383
           1.59            -2             0     -1.955503   0.068837421     -1.950856   0.075845825    -1.9502163   0.077060101     -1.950025   0.077297154    -1.9486855   0.079387776
            1.6            -2             0    -1.9541141    0.07005172    -1.9493258   0.077172304    -1.9486614   0.078422401    -1.9484655   0.078659878    -1.9470837   0.080788586
           1.61            -2             0     -1.952701   0.071263321    -1.9477691   0.078495213    -1.9470794   0.079781851    -1.9468787   0.080019545     -1.945454   0.082186323
           1.62            -2             0    -1.9512636   0.072471806     -1.946186   0.079814084    -1.9454702   0.081137986    -1.9452647   0.081375684    -1.9437963   0.083580507
           1.63            -2             0    -1.9498021   0.073676763    -1.9445766   0.081128456    -1.9438339    0.08249035    -1.9436237   0.082727835    -1.9421108   0.084970665
           1.64            -2             0    -1.9483166   0.074877789    -1.9429409   0.082437877    -1.9421706   0.083838494    -1.9419556   0.084075545    -1.9403975   0.086356334
           1.65            -2             0    -1.9468071   0.076074488    -1.9412791   0.083741905    -1.9404804   0.085181979    -1.9402607   0.085418371    -1.9386566    0.08773706
           1.66            -2             0    -1.9452736   0.077266474    -1.9395913   0.085040105    -1.9387633   0.086520375    -1.9385389   0.086755879    -1.9368881   0.089112398
           1.67            -2             0    -1.9437164   0.078453366    -1.9378775   0.086332057    -1.9370196   0.087853262    -1.9367905   0.088087646    -1.9350921   0.090481915
           1.68            -2             0    -1.9421355   0.079634795     -1.936138   0.087617345    -1.9352493   0.089180228    -1.9350155   0.089413256    -1.9332688   0.091845185
           1.69            -2             0    -1.9405311   0.080810399    -1.9343729   0.088895566    -1.9334524   0.090500872     -1.933214   0.090732305    -1.9314183   0.093201794
            1.7            -2             0    -1.9389032   0.081979823    -1.9325823   0.090166326    -1.9316293     0.0918148    -1.9313862   0.092044397    -1.9295408   0.094551335
           1.71            -2             0    -1.9372519   0.083142725    -1.9307663   0.091429243    -1.9297799   0.093121632    -1.9295323   0.093349147    -1.9276363   0.095893416
           1.72            -2             0    -1.9355775   0.084298767    -1.9289251   0.092683943    -1.9279044   0.094420993    -1.9276523   0.094646179    -1.9257051    0.09722765
           1.73            -2             0      -1.93388   0.085447623     -1.927059   0.093930062    -1.9260031   0.095712522    -1.9257465   0.095935128    -1.9237473   0.098553664
           1.74            -2             0    -1.9321596   0.086588975     -1.925168   0.095167249     -1.924076   0.096995865    -1.9238149   0.097215639     -1.921763   0.099871093
           1.75            -2             0    -1.9304165   0.087722514    -1.9232524    0.09639516    -1.9221233   0.098270679    -1.9218579   0.098487367    -1.9197525    0.10117958
           1.76            -2             0    -1.9286508    0.08884794    -1.9213123   0.097613464    -1.9201452   0.099536632    -1.9198755   0.099749976    -1.9177159    0.10247879
           1.77            -2             0    -1.9268627   0.089964961    -1.9193479   0.098821839    -1.9181419     0.1007934     -1.917868    0.10100314    -1.9156534    0.10376839
           1.78            -2             0    -1.9250523   0.091073295    -1.9173594    0.10001997    -1.9161136    0.10204067    -1.9158355    0.10224655    -1.9135652    0.10504805
           1.79            -2             0    -1.9232198    0.09217267    -1.9153472    0.10120757    -1.9140604    0.10327814    -1.9137782     0.1034799    -1.9114516    0.10631746
            1.8            -2             0    -1.9213654   0.093262822    -1.9133112    0.10238433    -1.9119825    0.10450551    -1.9116963    0.10470289    -1.9093126    0.10757632
           1.81            -2             0    -1.9194893   0.094343494    -1.9112519    0.10354999    -1.9098802    0.10572251    -1.9095901    0.10591524    -1.9071486    0.10882434
           1.82            -2             0    -1.9175917   0.095414441    -1.9091693    0.10470426    -1.9077537    0.10692886    -1.9074598    0.10711667    -1.9049597    0.11006123
